id,name,date_of_birth,height,weight,spike,block,link
132,Klaudia Kaczorowska,20/12/1988,184,68,303,281,Players.asp?Tourn=WGP2010&Team=POL&No=119139
133,Anna Werblinska,14/05/1984,178,66,308,292,Players.asp?Tourn=WGP2010&Team=POL&No=112544
134,Milena Radecka,18/10/1984,177,65,302,295,Players.asp?Tourn=WGP2010&Team=POL&No=119136
135,Paulina Maj-Erwardt,22/03/1987,166,58,277,255,Players.asp?Tourn=WGP2010&Team=POL&No=118379
136,Ewelina Brzezinska,26/01/1988,182,68,308,280,Players.asp?Tourn=WGP2010&Team=POL&No=132059
137,Katarzyna Gajgal,21/09/1981,190,85,300,287,Players.asp?Tourn=WGP2010&Team=POL&No=120320
138,Joanna Wolosz,7/04/1990,181,71,303,281,Players.asp?Tourn=WGP2010&Team=POL&No=118591
139,Joanna Kaczor,16/09/1984,191,64,305,290,Players.asp?Tourn=WGP2010&Team=POL&No=112557
140,Zuzanna Efimienko-Mlotkowska,8/08/1989,197,72,318,303,Players.asp?Tourn=WGP2010&Team=POL&No=119138
141,Maja Tokarska,22/02/1991,193,72,325,293,Players.asp?Tourn=WGP2010&Team=POL&No=118590
142,Xaimara Colon,11/09/1988,176,62,255,246,Players.asp?Tourn=WGP2010&Team=PUR&No=115999
143,Vilmarie Mojica,13/08/1985,180,63,295,288,Players.asp?Tourn=WGP2010&Team=PUR&No=112818
144,Tatiana Encarnación,28/07/1985,182,72,300,279,Players.asp?Tourn=WGP2010&Team=PUR&No=112814
145,Sarai Alvarez,3/04/1986,183,61,295,286,Players.asp?Tourn=WGP2010&Team=PUR&No=115293
146,Yarimar Rosa,20/06/1988,178,62,295,285,Players.asp?Tourn=WGP2010&Team=PUR&No=115005
147,Stephanie Enright,15/12/1990,179,56,300,292,Players.asp?Tourn=WGP2010&Team=PUR&No=119141
148,Shirley Ferrer,23/06/1991,180,63,290,293,Players.asp?Tourn=WGP2010&Team=PUR&No=119582
149,Aurea Cruz,10/01/1982,180,63,310,290,Players.asp?Tourn=WGP2010&Team=PUR&No=113532
150,Shanon Torregrosa,11/02/1981,188,85,301,297,Players.asp?Tourn=WGP2010&Team=PUR&No=113537
151,Karina Ocasio,1/08/1985,192,76,298,288,Players.asp?Tourn=WGP2010&Team=PUR&No=116900
152,Michelle Nogueras,5/12/1988,179,58,275,262,Players.asp?Tourn=WGP2010&Team=PUR&No=115998
153,Raimariely Santos,13/04/1992,180,68,284,280,Players.asp?Tourn=WGP2010&Team=PUR&No=124213
154,Glorimar Ortega,21/11/1983,179,70,297,285,Players.asp?Tourn=WGP2010&Team=PUR&No=116600
155,Shara Venegas,18/09/1992,173,68,280,272,Players.asp?Tourn=WGP2010&Team=PUR&No=124411
156,Alexandra Oquendo,3/02/1984,189,75,297,284,Players.asp?Tourn=WGP2010&Team=PUR&No=112820
157,Sheila Ocasio,17/11/1982,195,74,310,292,Players.asp?Tourn=WGP2010&Team=PUR&No=113538
158,Jetzabel Del Valle,19/12/1979,185,73,305,292,Players.asp?Tourn=WGP2010&Team=PUR&No=113531
159,Diana Reyes,29/04/1993,188,86,290,285,Players.asp?Tourn=WGP2010&Team=PUR&No=119343
160,Rasamee Supamool,10/01/1992,178,68,285,276,Players.asp?Tourn=WGP2010&Team=THA&No=132545
