id,name,link,date_of_birth,height,weight,spike,block,age
239,Thatdao Nuekjang,/en/competition/teams/tha-thailand/players/thatdao-nuekjang?id=69258,03/02/1994,184,72,308,296,26
240,Pleumjit Thinkaow,/en/competition/teams/tha-thailand/players/pleumjit-thinkaow?id=69264,09/11/1983,180,67,303,283,37
241,Onuma Sittirak,/en/competition/teams/tha-thailand/players/onuma-sittirak?id=69261,13/06/1986,175,72,304,285,34
242,Hattaya Bamrungsuk,/en/competition/teams/tha-thailand/players/hattaya-bamrungsuk?id=69245,12/08/1993,180,71,292,282,27
243,Watchareeya Nuanjam,/en/competition/teams/tha-thailand/players/watchareeya-nuanjam?id=69257,22/07/1996,177,64,292,279,24
244,Jarasporn Bundasak,/en/competition/teams/tha-thailand/players/jarasporn-bundasak?id=69247,01/03/1993,181,65,291,283,27
245,Wilavan Apinyapong,/en/competition/teams/tha-thailand/players/wilavan-apinyapong?id=69244,06/06/1984,174,70,294,282,36
246,Wanitchaya Luangtonglang,/en/competition/teams/tha-thailand/players/wanitchaya-luangtonglang?id=69255,08/10/1992,177,60,300,275,28
247,Tapaphaipun Chaisri,/en/competition/teams/tha-thailand/players/tapaphaipun-chaisri?id=69248,29/11/1989,168,70,295,276,31
248,Nootsara Tomkom,/en/competition/teams/tha-thailand/players/nootsara-tomkom?id=69265,07/07/1985,169,57,289,278,35
249,Chitaporn Kamlangmak,/en/competition/teams/tha-thailand/players/chitaporn-kamlangmak?id=69251,17/03/1996,184,74,290,282,24
250,Malika Kanthong,/en/competition/teams/tha-thailand/players/malika-kanthong?id=69252,08/01/1987,178,65,292,278,33
251,Pimpichaya Kokram,/en/competition/teams/tha-thailand/players/pimpichaya-kokram?id=69253,16/06/1998,178,62,293,283,22
252,Tichaya Boonlert,/en/competition/teams/tha-thailand/players/tichaya-boonlert?id=69246,14/02/1997,179,64,293,284,23
253,Ajcharaporn Kongyot,/en/competition/teams/tha-thailand/players/ajcharaporn-kongyot?id=69254,18/06/1995,178,65,298,287,25
254,Chatchu-On Moksri,/en/competition/teams/tha-thailand/players/chatchu-on-moksri?id=69256,06/11/1999,178,58,298,290,21
255,Supattra Pairoj,/en/competition/teams/tha-thailand/players/supattra-pairoj?id=69259,27/06/1990,160,58,275,265,30
256,Thanacha Sooksod,/en/competition/teams/tha-thailand/players/thanacha-sooksod?id=69262,26/05/2000,180,70,283,275,20
257,Hathairat Jarat,/en/competition/teams/tha-thailand/players/hathairat-jarat?id=69250,09/02/1996,182,65,286,277,24
258,Hannah Floyd,/en/competition/teams/tto-trinidad%20%20tobago/players/hannah-floyd?id=68793,26/04/1997,183,58,309,304,23
259,Jalicia Ross,/en/competition/teams/tto-trinidad%20%20tobago/players/jalicia-ross?id=65479,26/07/1984,185,72,308,270,36
260,Channon Thompson,/en/competition/teams/tto-trinidad%20%20tobago/players/channon-thompson?id=65483,29/03/1994,181,72,289,277,26
261,Kelly-Anne Billingy,/en/competition/teams/tto-trinidad%20%20tobago/players/kelly-anne-billingy?id=65463,15/05/1986,190,87,316,303,34
262,Delicia Pierre,/en/competition/teams/tto-trinidad%20%20tobago/players/delicia-pierre?id=65477,11/10/1991,180,79,301,285,29
263,Sinead Jack,/en/competition/teams/tto-trinidad%20%20tobago/players/sinead-jack?id=65472,08/11/1993,198,82,310,304,27
264,Kiune Fletcher,/en/competition/teams/tto-trinidad%20%20tobago/players/kiune-fletcher?id=65468,14/05/2002,181,64,300,265,18
265,Darlene Ramdin,/en/competition/teams/tto-trinidad%20%20tobago/players/darlene-ramdin?id=65478,05/08/1989,187,89,286,281,31
266,Taija Thomas,/en/competition/teams/tto-trinidad%20%20tobago/players/taija-thomas?id=65482,24/10/1996,183,66,315,280,24
267,Afesha Olton,/en/competition/teams/tto-trinidad%20%20tobago/players/afesha-olton?id=65476,22/05/1992,165,60,200,185,28
268,Renele Forde,/en/competition/teams/tto-trinidad%20%20tobago/players/renele-forde?id=65470,06/08/1990,190,82,304,295,30
269,Mikela Mc Gillvery,/en/competition/teams/tto-trinidad%20%20tobago/players/mikela-mc-gillvery?id=65474,16/11/1999,192,88,260,250,21
270,Rejeanne Wallace,/en/competition/teams/tto-trinidad%20%20tobago/players/rejeanne-wallace?id=68794,14/05/1996,176,76,307,301,24
271,Latisha Morain,/en/competition/teams/tto-trinidad%20%20tobago/players/latisha-morain?id=65475,28/06/1997,165,65,185,175,23
272,Krystle Esdelle,/en/competition/teams/tto-trinidad%20%20tobago/players/krystle-esdelle?id=65467,01/08/1984,186,67,329,299,36
