pk,id,name,link,date_of_birth,height,weight,spike,block,age,images,position
15,15,Yaneirys Rodriguez Duran,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/yaneirys-rodriguez-duran?id=77082,26/06/2000,171,56,280,251,20,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87405&type=Press&width=300&height=450&stretch=uniformtofill,Libero
16,16,Lisvel Elisa Eve Mejia,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/lisvel-elisa-eve-mejia?id=77066,10/09/1991,194,70,325,315,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87203&type=Press&width=300&height=450&stretch=uniformtofill,Universal
17,17,Camil Inmaculada Dominguez Martinez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/camil-inmaculada-dominguez-martinez?id=77065,07/12/1991,176,75,285,270,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87201&type=Press&width=300&height=450&stretch=uniformtofill,Setter
18,18,Niverka Dharlenis Marte Frica,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/niverka-dharlenis-marte-frica?id=77071,19/10/1990,178,71,295,283,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87202&type=Press&width=300&height=450&stretch=uniformtofill,Setter
19,19,Candida Estefany Arias Perez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/candida-estefany-arias-perez?id=77061,11/03/1992,194,68,320,315,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87198&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
20,20,Prisilla Rivera Brens,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/prisilla-rivera-brens?id=77080,29/12/1984,183,67,309,305,36,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87192&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
21,21,Yonkaira Paola Peña Isabel,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/yonkaira-paola-pe%c3%b1a-isabel?id=77077,10/05/1993,190,70,320,310,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87204&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
22,22,Gina Altagracia Mambru Casilla,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/gina-altagracia-mambru-casilla?id=77070,21/01/1986,182,65,330,315,34,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87196&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
23,23,Bethania De La Cruz De Peña,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/bethania-de-la-cruz-de-pe%c3%b1a?id=77064,13/05/1987,188,70,330,320,33,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87194&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
24,24,Brayelin Elizabeth Martinez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/brayelin-elizabeth-martinez?id=77072,11/09/1996,201,83,330,320,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87205&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
25,25,Jineiry Martinez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/jineiry-martinez?id=77073,03/12/1997,190,68,305,280,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87207&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
26,26,Gaila Ceneida Gonzalez Lopez,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/gaila-ceneida-gonzalez-lopez?id=77084,25/06/1997,188,73,304,276,23,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87401&type=Press&width=300&height=450&stretch=uniformtofill,Opposite spiker
27,27,Larysmer Martinez Caro,/en/volleyball/worldcup/2019/women/teams/dom-dominican%20republic/players/larysmer-martinez-caro?id=77075,18/10/1996,174,68,288,258,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87399&type=Press&width=300&height=450&stretch=uniformtofill,Libero
28,28,Sarina Koga,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/sarina-koga?id=77092,21/05/1996,180,66,307,290,24,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87300&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
29,29,Nana Iwasaka,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/nana-iwasaka?id=77091,03/07/1990,187,76,298,293,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87293&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
30,30,Risa Shinnabe,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/risa-shinnabe?id=77086,11/07/1990,175,64,293,285,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87294&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
31,31,Erika Shinomiya,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/erika-shinomiya?id=77087,03/08/1984,186,78,305,297,36,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87283&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
32,32,Haruka Miyashita,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/haruka-miyashita?id=77103,01/09/1994,177,61,298,272,26,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87292&type=Press&width=300&height=450&stretch=uniformtofill,Setter
33,33,Yuki Ishii,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/yuki-ishii?id=77090,08/05/1991,180,67,305,287,29,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87295&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
34,34,Yurie Nabeya,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/yurie-nabeya?id=77094,15/12/1993,176,57,305,292,27,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87298&type=Press&width=300&height=450&stretch=uniformtofill,Wing spiker
35,35,Miya Sato,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/miya-sato?id=77099,07/03/1990,175,61,278,275,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87291&type=Press&width=300&height=450&stretch=uniformtofill,Setter
36,36,Mai Okumura,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/mai-okumura?id=77095,31/10/1990,177,66,297,285,30,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87296&type=Press&width=300&height=450&stretch=uniformtofill,Middle blocker
37,37,Mako Kobata,/en/volleyball/worldcup/2019/women/teams/jpn-japan/players/mako-kobata?id=77098,15/08/1992,164,55,285,274,28,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87308&type=Press&width=300&height=450&stretch=uniformtofill,Libero
