index,name,date_of_birth,height,weight,spike,block,link
190,Mara Dumitrescu,16/05/2002,179,65,293,280,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/mara-dumitrescu?id=77054
191,Francesca Ioana Alupei,03/01/2003,190,65,290,280,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/francesca-ioana-alupei?id=77047
192,Florina Murariu,13/02/2002,180,82,283,271,/en/volleyball/worldchampionships/u18/women/2019/teams/rou-romania/players/florina-murariu?id=77057
193,Elizaveta Kochurina,01/10/2002,189,78,310,294,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/elizaveta-kochurina?id=76615
194,Valeriia Perova,30/08/2002,170,65,275,254,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/valeriia-perova?id=76611
195,Polina Matveeva,08/08/2002,188,69,300,281,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/polina-matveeva?id=76400
196,Elizaveta Gosheva,23/05/2002,182,73,288,269,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/elizaveta-gosheva?id=76614
197,Vita Akimova,16/07/2002,191,71,312,301,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/vita-akimova?id=76613
198,Elizaveta Popova,07/06/2002,185,63,298,291,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/elizaveta-popova?id=76618
199,Arina Fedorovtseva,19/01/2004,190,69,311,300,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/arina-fedorovtseva?id=76619
200,Alexandra Murushkina,17/02/2002,182,65,304,286,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/alexandra-murushkina?id=76616
201,Natalia Suvorova,05/03/2004,189,65,305,300,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/natalia-suvorova?id=76620
202,Valeriia Gorbunova,21/03/2003,188,65,305,297,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/valeriia-gorbunova?id=76583
203,Natalia Slautina,05/08/2002,198,78,302,286,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/natalia-slautina?id=76610
204,Tatiana Kadochkina,21/03/2003,192,77,310,292,/en/volleyball/worldchampionships/u18/women/2019/teams/rus-russia/players/tatiana-kadochkina?id=76584
205,Waranya Srilaoong,20/10/2002,173,62,282,280,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/waranya-srilaoong?id=76558
206,Wiranyupa Inchan,23/05/2002,182,80,290,287,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/wiranyupa-inchan?id=76363
207,Orrakan Singkhan,24/05/2003,171,68,280,278,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/orrakan-singkhan?id=76375
208,Jidapa Nahuanong,22/02/2002,166,54,258,248,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/jidapa-nahuanong?id=76370
209,Aungkana Pasang,11/07/2002,173,62,282,280,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/aungkana-pasang?id=76371
210,Amonrada Loeksawang,12/08/2002,176,66,289,286,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/amonrada-loeksawang?id=76367
211,Kewalin Chuemuangphan,07/07/2003,173,59,281,279,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/kewalin-chuemuangphan?id=76362
212,Pimtawan Thongyos,30/04/2002,171,60,268,250,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/pimtawan-thongyos?id=76378
213,Suphatcha Khamtrareaksa,28/07/2002,177,75,288,285,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/suphatcha-khamtrareaksa?id=76365
214,Saowapha Soosuk,09/03/2002,173,59,282,279,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/saowapha-soosuk?id=76376
215,Pajaree Maneesri,17/10/2002,174,78,281,279,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/pajaree-maneesri?id=76559
216,Wimonrat Thanapan,02/04/2002,179,56,289,283,/en/volleyball/worldchampionships/u18/women/2019/teams/tha-thailand/players/wimonrat-thanapan?id=76377
217,Hilal Kocakara,01/01/2002,179,63,295,278,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/hilal-kocakara?id=76637
218,Derin Ezgi Tasdemir,20/07/2002,186,71,297,277,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/derin-ezgi-tasdemir?id=76648
219,Ä°par Kurt,10/11/2003,186,69,305,290,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/%c4%b0par-kurt?id=76638
220,Elif Su EriÃ§ek,16/12/2002,180,72,300,290,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/elif-su-eri%c3%a7ek?id=76633
221,Ã‡aÄŸla Salih,05/04/2002,179,68,298,285,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/%c3%a7a%c4%9fla-salih?id=76640
222,Sabire Karacaova,05/07/2002,178,63,290,280,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/sabire-karacaova?id=76636
223,Dalia Wilson,28/10/2004,191,79,315,293,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/dalia-wilson?id=76649
224,Hanife Nur Ã–zaydinli,01/11/2002,188,70,294,283,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/hanife-nur-%c3%b6zaydinli?id=76639
225,Pelin Eroktay,14/11/2004,156,71,297,277,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/pelin-eroktay?id=76645
226,Damla Tokman,02/04/2002,187,67,290,280,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/damla-tokman?id=76643
227,Aleyna GÃ¶Ã§men,01/06/2004,188,68,289,272,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/aleyna-g%c3%b6%c3%a7men?id=76646
228,GÃ¼lce GÃ¼Ã§tekin,10/10/2002,167,55,275,270,/en/volleyball/worldchampionships/u18/women/2019/teams/tur-turkey/players/g%c3%bclce-g%c3%bc%c3%a7tekin?id=76634
229,Alexis Rodriguez,11/03/2003,168,59,282,269,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/alexis-rodriguez?id=76490
230,Elena Oglivie,22/01/2002,178,66,287,274,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/elena-oglivie?id=76487
231,Sydney Taylor,15/04/2003,178,66,287,274,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/sydney-taylor?id=76491
232,Allison Jacobs,01/02/2002,180,70,323,297,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/allison-jacobs?id=76480
233,Kamerynn Miner,17/03/2003,183,72,315,300,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/kamerynn-miner?id=76484
234,Kennedi Orr,07/11/2002,183,75,310,302,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/kennedi-orr?id=76488
235,Jessica Mruzik,15/06/2002,185,77,302,297,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/jessica-mruzik?id=76486
236,Caroline Crawford,05/03/2002,188,70,324,310,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/caroline-crawford?id=76494
237,Devyn Robinson,09/07/2002,188,82,302,287,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/devyn-robinson?id=76489
238,Emily Londot,13/05/2002,188,86,318,307,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/emily-londot?id=76483
239,Lindsay Krause,11/12/2002,191,75,310,302,/en/volleyball/worldchampionships/u18/women/2019/teams/usa-usa/players/lindsay-krause?id=76482
