competition_name,competition_year,team,name,date_of_birth,curr_age,height,weight,spike,block,player_page,player_image,nationality,position,short_position
World Cup,2019,http:///,Jeongah Park,1993-01-26,28,187,75,300,290,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/kor-korea/players/jeongah_park?id=77432,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88041&Type=Press&height=450&stretch=uniformtofill&width=300,KOR,Wing spiker,OH
World Cup,2019,http:///,Hyo Jin Yang,1989-01-14,32,190,72,340,338,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/kor-korea/players/hyo_jin_yang?id=77434,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88032&Type=Press&height=450&stretch=uniformtofill&width=300,KOR,Middle blocker,MB
World Cup,2019,http:///,Sohwi Kang,1997-01-18,24,180,65,286,276,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/kor-korea/players/sohwi_kang?id=77417,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88051&Type=Press&height=450&stretch=uniformtofill&width=300,KOR,Wing spiker,OH
World Cup,2019,http:///,Jaeyeong Lee,1996-01-15,25,178,65,289,279,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/kor-korea/players/jaeyeong_lee?id=77424,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88050&Type=Press&height=450&stretch=uniformtofill&width=300,KOR,Wing spiker,OH
World Cup,2019,http:///,Dayeong Lee,1996-01-15,25,180,63,291,271,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/kor-korea/players/dayeong_lee?id=77423,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=88049&Type=Press&height=450&stretch=uniformtofill&width=300,KOR,Setter,S
World Cup,2019,http:///,Jane Wacu Wairimu,1985-01-24,36,175,60,299,286,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/jane_wacu_wairimu?id=77165,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87861&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Setter,S
World Cup,2019,http:///,Violet Makuto,1993-01-20,28,167,65,298,290,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/violet_makuto?id=77157,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87863&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Opposite spiker,OPP
World Cup,2019,http:///,Leonida Kasaya,1993-01-10,28,168,67,297,292,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/leonida_kasaya?id=77150,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87867&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Wing spiker,OH
World Cup,2019,http:///,Sharon Chepchumba Kiprono,1998-01-26,23,183,82,293,281,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/sharon_chepchumba_kiprono?id=77153,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87882&Type=Press&height=450&stretch=uniformtofill&width=300,KEN,Opposite spiker,OPP
World Cup,2019,http:///,Janet Wanja,1984-01-24,37,175,59,299,287,https://www.volleyball.world/en/volleyball/worldcup/2019/women/teams/ken-kenya/players/janet_wanja?id=77166,https://www.fivb.org/Vis2009/Images/GetImage.asmx?No=87860&Type=Press&height=450&stretch=uniformtofill&width=300,KEN Pipeline Company,Setter,S
