id,name,date_of_birth,height,weight,spike,block
511,Dairilys Margarita Cruz Perez,12/09/1990,183,65,310,305
512,Yaremis de la Caridad Mendaro Leyva,21/04/1994,188,72,310,300
513,Winifer Maria Fernandez Perez,06/01/1995,169,62,270,265
514,Brenda Castillo,05/06/1992,167,55,245,230
515,Jeoselyna Rodriguez Santos,09/12/1991,187,63,325,315
516,Celenia Toribio De Leon,17/07/1994,181,69,290,286
517,Yeniffer Cristina Ramirez Espinal,17/03/1993,183,67,285,289
518,Kathleen Weiß,02/02/1984,173,64,290,273
519,Kathy Radzuweit,02/03/1982,196,76,319,300
520,Angelina Hübner-Grün,02/12/1979,185,74,309,287
521,Berit Kauffeldt,08/07/1990,190,75,311,294
522,Corina Ssuschke-Voigt,09/05/1983,189,75,310,298
523,Heike Beier,09/12/1983,184,73,305,293
524,Lena Möllers,06/01/1990,188,74,312,297
525,Nadja Schaus,08/11/1984,187,66,305,295
526,Regina Burchardt,01/07/1983,186,77,302,294
527,Claudia Steger,10/03/1990,178,70,301,284
528,Luise Mauersberger,02/07/1990,188,80,296,290
529,Ai Otomo,24/03/1982,184,68,312,305
530,Mai Yamaguchi,03/07/1983,176,62,304,292
531,Kotoki Zayasu,11/01/1990,159,57,270,255
532,Nana Iwasaka,03/07/1990,187,76,298,293
533,Erika Shinomiya,03/08/1984,186,78,305,297
534,Yukiko Ebata,07/11/1989,176,67,305,298
535,Kanako Hirai,15/04/1984,183,69,309,290
536,Riho Otake,23/12/1993,182,68,306,296
537,Haruka Miyashita,01/09/1994,177,61,298,272
538,Ayumi Nakamura,29/08/1990,176,70,294,278
539,Mai Okumura,31/10/1990,177,66,297,285
540,Yuki Ishii,08/05/1991,180,67,305,287
541,Miyu Nagaoka,25/07/1991,179,64,308,303
542,Rika Nomoto,21/09/1991,180,72,308,291
543,Hye Seon Yeum,03/02/1991,177,65,278,263
544,Joon-Eem Ha,26/12/1989,189,74,287,281
545,Su Ji Kim,11/07/1987,187,68,283,273
546,Hyo-Sook Lim,26/04/1982,177,75,278,270
547,Jeongah Park,26/03/1993,187,75,300,290
548,Yoo-Mi Han,05/02/1982,180,65,307,297
549,Songyi Han,05/09/1984,186,65,305,298
550,Dae-Young Jung,12/08/1981,185,73,279,269
551,Ji-Youn Jung,28/06/1980,178,64,295,284
552,Bo-Lam Lee,08/08/1988,185,75,283,274
553,Hyo Hee Lee,09/09/1980,173,58,272,252
554,Sooji Han,01/02/1989,182,72,285,275
555,Myungok Yim,05/05/1986,175,62,273,253
556,Krystyna Strasz,24/07/1987,165,55,0,252
557,Izabela Kowalinska,23/02/1985,186,77,300,283
558,Joanna Wolosz,07/04/1990,181,71,303,281
559,Elzbieta Nykiel,06/07/1983,183,69,305,280
560,Monika Ptak,14/05/1990,187,72,310,289
561,Paulina Glaz,04/01/1994,184,72,303,287
562,Zuzanna Czyznielewska,24/04/1992,186,69,300,279
563,Iga Chojnacka,21/04/1994,183,68,300,280
564,Agnieszka Kakolewska,17/10/1994,197,75,309,295
565,Dorota Wilk,28/04/1988,178,66,290,0
566,Sarai Alvarez,03/04/1986,183,61,295,286
567,Genesis Collazo,04/10/1992,185,74,301,296
568,Karina Ocasio,01/08/1985,192,76,298,288
569,Michelle Nogueras,05/12/1988,179,58,275,262
570,Remy June Mcbain,27/08/1991,188,68,299,289
571,Natalia Valentin,12/09/1989,170,61,244,240
572,Daly Santana,19/02/1995,185,65,300,274
573,Alexandra Oquendo,03/02/1984,189,75,297,284
574,Lynda Morales,20/05/1988,188,74,302,296
575,Amanda Vazquez,30/03/1984,185,94,302,297
576,Jennifer Quesada,22/02/1992,188,71,299,295
577,Jennifer Nogueras,01/08/1991,185,88,299,292
578,Valeria Gonzalez,15/09/1988,188,67,288,282
579,Pilar Marie Victoria,11/10/1995,182,53,301,268
580,Kanisha Jimenez,28/11/1995,185,56,295,291
581,Jovana Brakocevic,05/03/1988,196,82,309,295
582,Ivana Djerisilo,08/08/1983,188,68,277,252
583,Maja Ognjenovic,06/08/1984,183,67,300,293
584,Stefana Veljkovic,09/01/1990,190,76,325,310
585,Ana Bjelica,03/04/1992,190,78,310,305
586,Nadja Ninkovic,01/11/1991,193,77,307,298
587,Suzana Cebic,09/11/1984,167,60,279,255
588,Sanja Starovic,25/03/1983,194,96,315,305
589,Jelena Blagojevic,01/12/1988,181,67,302,284
590,Brankica Mihajlovic,13/04/1991,190,83,302,290
591,Surasawadee Boonyuen,31/10/1991,179,72,280,275
592,Pleumjit Thinkaow,09/11/1983,180,67,303,283
593,Pornpimol Kunbang,18/06/1993,178,70,268,260
594,Utaiwan Kaensing,07/09/1988,189,86,310,295
595,Piyamas Koijapo,23/10/1978,178,67,298,282
596,Wilavan Apinyapong,06/06/1984,174,70,294,282
597,Nootsara Tomkom,07/07/1985,169,57,289,278
598,Jarasporn Bundasak,01/03/1993,180,66,280,290
599,Malika Kanthong,08/01/1987,178,65,292,278
600,Pornpun Guedpard,05/05/1993,170,63,288,279
601,Sontaya Keawbundit,09/02/1991,177,68,290,280
602,Tanaporn Polrueng,04/02/1994,173,68,276,275
603,Kaewkalaya Kamulthala,07/08/1994,178,72,279,273
604,Chutikarn Pholchai,06/05/1994,173,56,274,267
605,Yupa Sanitklang,14/08/1991,160,60,280,270
606,Yi Hsuan Lee,02/08/1992,164,59,286,279
607,Sin Ting Wang,17/10/1992,176,61,278,270
608,Yi Ping Lee,08/08/1989,177,70,291,286
609,Wan Ching Chen,16/06/1988,167,56,289,282
610,Yin Feng Tsai,06/11/1984,181,75,291,280
611,Pei Ling Yen,05/01/1986,174,65,270,268
612,Gülden Kayalar Kuzubasioglu,05/12/1980,167,57,281,275
613,Gizem Guresen,14/01/1987,178,70,250,270
614,Nihan Yeldan Guneyligil,07/02/1982,170,60,280,276
615,Ergul Avci,24/07/1987,190,75,300,285
616,Polen Uslupehlivan,27/08/1990,193,65,320,310
617,Ayse Gokcen Denkel Zop,02/08/1985,193,80,320,315
618,Bahar Toksoy,06/02/1988,190,68,315,305
619,Ozge Nur Yurtdagulen,06/08/1993,193,67,320,310
620,Gozde Kirdar Sonsirma,26/06/1985,183,70,297,292
621,Naz Aydemir,14/08/1990,186,68,304,300
622,Esra Gümüs,02/10/1982,181,76,305,297
623,Neriman Ozsoy,13/07/1988,188,76,312,300
624,Eda Erdem Dündar,22/06/1987,188,74,307,297
625,Meryem Calik,03/02/1988,194,63,315,305
626,Nedime Elif Oner,10/02/1984,186,72,292,290
627,Neslihan Darnel,09/12/1983,187,72,315,306
628,Asuman Karakoyun,16/07/1990,180,72,293,289
629,Seda Tokatlioglu,25/06/1986,192,80,312,304
630,Büsra Kiliçli,16/07/1990,188,84,297,291
631,Nilay Ozdemir,24/10/1985,179,67,286,280
632,Yeliz Askan Basa,13/08/1987,187,75,308,302
633,Selime Ilyasoglu,18/11/1988,183,68,310,300
634,Gizem Orge,26/04/1993,170,59,270,260
635,Ezgi Dagdelenler,03/11/1993,184,69,290,269
636,Danielle Scott-Arruda,01/10/1972,188,84,325,302
637,Cynthia Barboza,07/02/1987,183,68,311,301
638,Foluke Akinradewo,05/10/1987,191,79,331,300
639,Carli Lloyd,06/08/1989,180,75,313,295
640,Destinee Hooker,07/09/1987,193,73,320,304
641,Alexandra Klineman,30/12/1989,194,73,322,299
642,Tamari Miyashiro,08/07/1987,170,70,284,266
643,Courtney Thompson,04/11/1984,170,66,276,263
644,Mary Spicer,03/07/1987,175,65,292,280
645,Kristin Lynn Hildebrand,30/06/1985,185,68,300,284
646,Lauren Gibbemeyer,08/09/1988,187,71,307,293
647,Dallal Merwa Achour,03/11/1994,176,60,275,262
648,Salima Hammouche,17/01/1984,158,54,270,265
649,Fatma Zahra Djouad,12/07/1988,180,62,295,285
650,Sara Belhocine,18/09/1994,178,60,272,260
651,Silya Magnana,16/03/1991,181,68,274,261
652,Manel Yagoubi,25/06/1992,178,70,295,290
653,Zohra Bensalem,05/04/1990,178,68,310,299
654,Amina Saoud,18/07/1993,173,62,295,280
655,Fatima Zahra Oukazi,18/01/1984,175,67,295,283
656,Mouni Abderrahim,19/11/1985,171,60,305,293
657,Safia Boukhima,10/01/1991,176,64,294,284
658,Nawal Mansouri,01/08/1985,174,64,291,281
659,Kahina Messaoudene,15/07/1992,183,56,299,290
660,Aicha Mezemate,06/06/1991,187,75,300,285
661,Sihem Saoud,18/07/1993,175,62,295,280
662,Lydia Oulmou,02/02/1986,181,59,291,284
663,Tassadit Aissou,19/06/1989,184,80,295,285
664,Celia Bourihane,22/01/1995,178,56,277,255
665,Kahina Arbouche,04/09/1993,175,60,295,280
666,Yasmine Ousalah,04/07/1993,174,60,270,268
667,Nawel Hammouche,25/04/1997,185,66,279,265
668,Sol Piccolo,11/09/1996,184,74,294,282
669,Natalia Aispurua,20/12/1991,192,78,310,293
670,Tanya Acosta,11/03/1991,182,70,287,280
671,Viviana Dominko,03/10/1982,172,68,289,270
672,Sherry Moreno,21/10/1989,185,77,303,295
673,Elina Rodriguez,11/02/1997,189,72,300,284
674,Eugenia Nosach,31/03/1993,175,66,290,277
675,Juciely Cristina Barreto,18/12/1980,184,71,312,289
676,Danielle Lins,05/01/1985,181,68,290,276
677,Ellen Braga,12/06/1991,178,65,288,284
678,Priscila Daroit,10/08/1988,182,74,290,280
679,Claudia Bueno da Silva,21/09/1987,181,80,290,266
680,Michelle Pavão,31/10/1986,178,62,295,283
681,Gabriela Braga Guimaraes,19/05/1994,180,65,305,289
682,Natalia Pereira,04/04/1989,186,83,311,295
683,Sheilla Castro De Paula Blassioli,01/07/1983,185,64,302,284
684,Fabiana Oliveira,07/03/1980,169,59,276,266
685,Monique Marinho Pavao,31/10/1986,178,67,294,285
686,Josefa Fabiola Almeida De Sousa Alves,03/02/1983,184,70,300,285
687,Leticia Magnani Hage,09/09/1990,187,83,301,288
688,Ana Beatriz Correa,07/02/1992,187,70,298,292
689,Ivna Marra,25/01/1990,185,76,305,294
690,Suelen Pinto,04/10/1987,166,81,256,238
691,Desislava Nikolova,21/12/1991,184,65,290,285
692,Kremena Kamenova,21/05/1988,185,64,304,299
693,Lora Kitipova,19/05/1991,184,66,290,283
694,Dobriana Rabadzhieva,14/06/1991,190,77,305,285
695,Tsvetelina Zarkova,18/12/1986,187,69,298,289
696,Gabriela Koeva,25/07/1989,187,72,306,298
697,Simona Dimitrova,17/07/1994,185,82,290,280
698,Petya Barakova,18/06/1994,180,76,283,271
699,Gergana Dimitrova,28/02/1996,184,71,305,288
700,Hristina Ruseva,01/10/1991,190,77,305,290
701,Mariya Karakasheva,27/10/1988,182,68,295,290
702,Mariya Filipova,10/09/1982,178,68,295,275
703,Slavina Koleva,22/11/1986,184,57,302,297
704,Silvana Chausheva,19/05/1995,188,75,305,290
705,Elitsa Vasileva,13/05/1990,190,73,302,290
706,Strashimira Strashimirova Simeonova,18/08/1985,195,78,307,300
707,Emiliya Dimitrova,26/12/1991,185,59,302,287
708,Mira Todorova,12/04/1994,187,73,312,300
709,Zhana Todorova,06/01/1997,170,56,271,255
710,Jingsi Shen,03/05/1989,186,75,305,294
711,Yunli Xu,02/08/1987,195,85,325,306
712,Ruoqi Hui,04/03/1991,192,78,315,305
713,Yanhan Liu,19/01/1993,188,75,315,305
714,Xiaotong Liu,16/02/1990,188,80,312,300
715,Di Yao,15/08/1992,182,65,306,298
716,Ting Qiao,02/03/1992,189,66,315,315
717,Congcong Liu,08/12/1990,189,65,310,302
718,Lilianny Marsillan Aguero,05/10/1991,181,65,300,295
719,Heidy Casanova Alvarez,06/11/1998,184,78,244,240
720,Claudia Hernandez Aguila,09/01/1997,181,78,225,223
721,Dayessi Luis Ruiz,23/10/1996,170,60,288,248
722,Ana Yilian Cleger Abel,27/11/1989,183,69,300,285
723,Gretell Elena Moreno Borrero,30/01/1998,183,68,287,280
724,Beatriz Vilches Santana,29/01/1995,182,68,288,277
725,Anet Alfonso Benitez,26/06/1996,172,54,225,222
726,Yelennis Diaz Cairo,14/10/1995,189,71,300,298
727,Sulian Caridad Matienzo Linares,14/12/1994,178,75,232,230
728,Heidy Margarita Rodriguez Lopez,24/06/1993,187,66,312,308
729,Eva Hodanova,18/12/1993,189,75,306,298
730,Kristyna Boulova,22/10/1985,197,84,315,302
731,Aneta Kocmanova Havlickova,03/07/1987,190,96,316,300
732,Julie Kovarova,14/09/1987,179,62,295,280
733,Lucie Smutna,14/04/1991,180,75,307,285
734,Sarka Kubinova,19/04/1988,178,63,303,292
735,Tereza Rossi,03/12/1982,191,81,310,285
736,Michaela Monzoni,18/04/1984,193,75,310,303
737,Petra Kojdova,23/09/1993,183,68,304,298
738,Veronika Dostalova,07/04/1992,170,66,278,269
739,Karolína Bednárová,20/07/1986,183,67,304,285
740,Tereza Vanzurova,04/04/1991,186,83,300,269
741,Lucie Muhlsteinova,15/10/1984,180,72,296,285
742,Ivona Svobodnikova,01/04/1991,190,77,300,290
743,Helena Havelkova,25/07/1988,186,70,320,300
744,Ivana Plchotova,28/10/1982,192,76,310,290
745,Pavla Smidova,12/11/1992,180,68,297,290
746,Nikol Sajdova,20/07/1988,185,79,298,295
747,Lucie Herbockova,02/01/1994,183,67,299,290
748,Michaela Mlejnkova,26/07/1996,185,75,305,298
749,Pamela Marie Soriano Olivo,30/06/1995,175,64,290,287
750,Jineiry Martinez,03/12/1997,190,68,305,280
751,Ana Yorkira Binet Stephens,09/02/1992,174,58,280,260
752,Erasma Moreno Martinez,25/11/1991,183,75,304,289
753,Gaila Ceneida Gonzalez Lopez,25/06/1997,188,73,304,276
754,Kathleen WeiÃŸ,02/02/1984,173,64,290,273
755,Jana Franziska Poll,07/05/1988,185,69,310,290
756,Lena MÃ¶llers,06/01/1990,188,74,312,297
757,Carina Aulenbrock,22/09/1994,191,91,310,291
758,Svenja Engelhardt,20/04/1988,182,71,304,288
759,Mareen Von RÃ¶mer,26/03/1987,183,73,295,284
760,Jennifer Geerties,05/04/1994,184,58,298,288
761,Lisa Izquierdo,29/08/1994,178,73,309,294
762,Immacolata Sirressi,19/05/1990,175,62,290,220
763,Letizia Camera,01/10/1992,175,62,285,270
764,Monica De Gennaro,08/01/1987,174,67,292,217
765,Martina Guiggi,01/05/1984,187,80,317,240
766,Noemi Signorile,15/02/1990,183,72,294,290
767,Caterina Bosetti,02/02/1994,179,59,299,281
768,Cristina Chirichella,10/02/1994,194,79,322,306
769,Chiara Di Iulio,05/05/1985,184,65,291,278
770,Valentina Zago,21/02/1990,186,77,305,284
771,Valeria Caracuta,14/12/1987,173,65,285,274
772,Floriana Bertone,19/11/1992,202,80,316,300
773,Lucia Bosetti,09/07/1989,178,63,310,292
774,Valentina Diouf,10/01/1993,202,94,330,261
775,Carolina Del Pilar Costagrande,15/10/1980,187,90,320,310
776,Raphaela Folie,07/03/1991,187,73,324,300
777,Alessia Gennari,03/11/1991,184,68,305,238
778,Valentina Fiorin,09/10/1984,184,82,320,310
779,Valentina Tirozzi,26/03/1986,181,69,304,292
780,Arisa Sato,18/07/1989,166,53,275,266
781,Naoko Hashimoto,11/07/1984,172,68,288,268
782,Mami Yoshida,05/06/1986,158,57,272,260
783,Makoto Matsuura,09/09/1986,173,69,282,265
784,Haruyo Shimamura,04/03/1992,182,78,297,290
785,Akari Oumi,10/11/1989,171,64,297,276
786,Saori Takahashi,09/12/1992,177,66,307,290
787,Aimi Kawashima,15/04/1990,182,67,298,285
788,Kanami Tashiro,25/03/1991,173,68,289,273
789,Fumika Moriya,07/04/1992,180,75,302,285
790,Lyudmila Issayeva,26/09/1989,184,70,295,280
791,Lyudmila Anarbayeva,12/11/1983,192,72,305,299
792,Korinna Ishimtseva,08/02/1984,187,69,300,290
793,Marina Storozhenko,06/06/1985,175,57,290,280
794,Yana Yagodina,24/01/1993,182,69,300,285
795,Alessya Safronova,10/02/1986,192,70,290,280
796,Anastassiya Rostovchshikova,17/04/1994,180,64,280,260
797,Yekaterina Razorenkova,03/06/1993,185,69,283,280
798,Yelena Gordeyeva,23/11/1988,178,72,280,275
799,Tatyana Fendrikova,23/02/1990,169,55,280,275
800,Femke Stoltenborg,30/07/1991,189,81,303,299
801,Yvon Belien,28/12/1993,188,73,307,303
802,Celeste Plak,26/10/1995,190,87,314,302
803,Robin De Kruijf,05/05/1991,192,81,313,300
804,Quinta Steenbergen,02/04/1985,189,75,309,300
805,Judith Pietersen,03/07/1989,188,73,306,296
806,Anne Buijs,02/12/1991,191,73,317,299
807,Manon Nummerdor-Flier,08/02/1984,192,71,315,301
808,Flore Gravesteijn,26/04/1987,189,68,303,291
809,Kim Renkema,28/06/1987,179,67,295,282
810,Moniek Jansen,26/08/1992,192,86,298,285
811,Lynn Thijssen,22/08/1992,187,73,298,284
812,Kirsten Knip,14/09/1992,175,70,281,275
813,Quirine Oosterveld,05/03/1990,181,70,296,288
814,Esther Van Berkel,31/08/1990,176,68,301,287
815,Inge Molendijk,09/12/1992,186,76,287,284
816,Klaske Sikkes,07/04/1993,188,74,299,286
817,Patrycja Polak,23/02/1991,183,62,301,279
818,Aleksandra Wojcik,03/01/1994,184,76,297,279
819,Zuzanna Efimienko-Mlotkowska,08/08/1989,197,72,318,303
820,Dorota Medynska,25/04/1993,168,60,280,261
821,Aleksandra Sikorska,28/04/1993,185,67,306,286
822,Justyna Lukasik,27/01/1993,187,77,301,285
823,Anastasia Salina,30/12/1988,181,67,295,288
824,Daria Isaeva,29/03/1990,186,75,310,304
825,Irina Zaryazhko Koroleva,04/10/1991,196,78,305,290
826,Nataliya Goncharova,01/06/1989,194,75,315,306
827,Kseniia Bondar,01/02/1990,190,73,305,300
828,Ekaterina Kosianenko,02/02/1990,178,64,290,285
829,Victoriia Chaplina,23/10/1988,188,77,301,295
830,Ekaterina Orlova,21/10/1987,193,77,307,301
831,Natalia Dianskaia,07/03/1989,185,69,297,292
832,Regina Moroz,14/01/1987,188,70,310,303
833,Natalia Malykh,08/12/1993,187,65,308,297
834,Alexandra Vinogradova,11/04/1988,175,72,295,287
835,Anna Podkopaeva,16/04/1990,175,59,290,286
836,Anastasia Shlyakhovaya,05/10/1990,192,69,313,307
837,Valeriya Goncharova,03/01/1988,188,70,308,301
838,Elena Novik,23/03/1994,180,66,295,290
839,Sanja Malagurski,08/06/1990,193,74,305,295
840,Tijana Malesevic,18/03/1991,184,73,289,288
841,Olga Raonic,31/12/1986,184,70,294,280
842,Jasna Majstorovic,23/04/1984,181,64,300,293
843,Sladjana Mirkovic,07/10/1995,185,78,293,283
844,Bianka Busa,25/07/1994,187,74,312,298
845,Tijana Boškovic,08/03/1997,193,82,315,300
846,Em-Orn Phanusit,25/03/1988,177,70,302,291
847,Thatdao Nuekjang,03/02/1994,184,72,308,296
848,Utaiwan Kaensing,09/07/1988,189,86,310,295
849,Wanitchaya Luangtonglang,08/10/1992,177,60,300,275
850,Jarasporn Bundasak,01/03/1993,181,65,291,283
851,Kaewkalaya Kamulthala,07/08/1994,178,66,298,281
852,Kuttika Kaewpin,16/08/1994,168,56,285,268
853,Parinya Pankaew,27/12/1995,170,59,281,269
854,Sineenat Phocharoen,19/05/1995,173,53,287,270
855,Gizem Karadayi,14/01/1987,178,60,290,285
856,Birgül Guler,02/05/1990,178,68,305,290
857,Özge Kirdar Çemberci,26/06/1985,183,68,310,300
858,Gözde Sonsirma,26/06/1985,183,70,297,292
859,Esra Gumus Kirici,02/10/1982,181,76,305,297
860,Gözde Yilmaz,09/09/1991,194,79,316,306
861,Ezgi Arslan,23/03/1992,181,59,280,275
862,Ayse Melis Gürkaynak,20/04/1990,183,68,300,280
863,Kubra Caliskan,13/10/1994,198,86,310,310
864,Asli Kalac,13/12/1995,185,73,306,297
865,Dilara Bagci,02/02/1994,165,62,270,260
866,Anna Grejman,08/06/1993,183,67,302,283
