id,name,date_of_birth,height,weight,spike,block,link
0,name,date_of_birth,height,weight,spike,block,link
120,Chiara Di Iulio,5/05/1985,184,65,291,278,Players.asp?Tourn=WGP2011&Team=ITA&No=112734
121,Paola Cardullo,18/03/1982,159,56,275,268,Players.asp?Tourn=WGP2011&Team=ITA&No=112515
122,Serena Ortolani,7/01/1987,187,63,320,240,Players.asp?Tourn=WGP2011&Team=ITA&No=113993
123,Francesca Piccinini,10/01/1979,184,71,304,279,Players.asp?Tourn=WGP2011&Team=ITA&No=113626
124,Valentina Arrighetti,26/01/1985,185,72,318,310,Players.asp?Tourn=WGP2011&Team=ITA&No=112728
125,Eleonora Lo Bianco,22/12/1979,171,67,287,273,Players.asp?Tourn=WGP2011&Team=ITA&No=113627
126,Antonella Del Core,5/11/1980,180,70,296,279,Players.asp?Tourn=WGP2011&Team=ITA&No=114249
127,Lucia Bosetti,9/07/1989,178,63,310,292,Players.asp?Tourn=WGP2011&Team=ITA&No=115816
128,Simona Gioli,17/09/1977,185,70,307,283,Players.asp?Tourn=WGP2011&Team=ITA&No=113905
129,Marta Bechis,4/09/1989,181,59,290,273,Players.asp?Tourn=WGP2011&Team=ITA&No=132038
130,Giulia Leonardi,1/12/1987,165,57,280,261,Players.asp?Tourn=WGP2011&Team=ITA&No=135581
131,Francesca Ferretti,15/02/1984,180,70,296,280,Players.asp?Tourn=WGP2011&Team=ITA&No=112509
132,Hitomi Nakamichi,18/09/1985,159,53,270,256,Players.asp?Tourn=WGP2011&Team=JPN&No=134030
133,Yoshie Takeshita,18/03/1978,159,53,280,270,Players.asp?Tourn=WGP2011&Team=JPN&No=111715
134,Yuki Ishikawa,26/04/1987,181,68,302,286,Players.asp?Tourn=WGP2011&Team=JPN&No=115538
135,Ai Yamamoto,24/03/1982,184,68,312,305,Players.asp?Tourn=WGP2011&Team=JPN&No=112041
136,Yuko Sano,26/07/1979,159,54,260,250,Players.asp?Tourn=WGP2011&Team=JPN&No=113311
